log_id,site,plot,position,ants,treatment,plot_id,tree_r,cnpy_cov,cnpy_prop,host_abund,host_rich,par_abund,par_rich,ant_trap,ant_pres,cwd_vol,cwd_vol_imp,ant_w_occ,wantoc_imp,mc_mass,mc_imp,geomorph,geo_cat
w4_b.t29_S.D.nA,B,T29,S,nA,nA,B_T29,1,42.2,0.422,0,0,0,0,0,0,0.0056028,0.0056028,5,5,0.627154634,0.627154634,Valley,3
w4_b.t8_G.D,B,T8,G,A,G,B_T8,24,74.82,0.7482,0,0,0,0,7,1,0.1233742,0.1233742,16,16,0.742695035,0.742695035,Hollow,3
w4_b.t8_S.D.A,B,T8,S,A,A,B_T8,24,74.82,0.7482,4,3,0,0,52,1,0.1233742,0.1233742,16,16,0.58677034,0.58677034,Hollow,3
w4_b.t8_S.D.nA,B,T8,S,nA,nA,B_T8,24,74.82,0.7482,3,1,0,0,0,0,0.1233742,0.1233742,16,16,0.440979035,0.440979035,Hollow,3
w4_b.u16_G.D,B,U16,G,A,G,B_U16,1,20.9,0.209,0,0,0,0,12,1,0.3816626,0.3816626,9,9,NA,0.558192193,Summit,1
w4_b.u16_S.D.A,B,U16,S,A,A,B_U16,1,20.9,0.209,0,0,0,0,0,0,0.3816626,0.3816626,9,9,0.217725364,0.217725364,Summit,1
w4_b.u16_S.D.nA,B,U16,S,nA,nA,B_U16,1,20.9,0.209,0,0,0,0,0,0,0.3816626,0.3816626,9,9,NA,0.28930308,Summit,1
w4_b.u27_G.D,B,U27,G,A,G,B_U27,2,8.48,0.0848,0,0,0,0,0,0,0.0218472,0.0218472,5,5,0.769262073,0.769262073,Spur,1
w4_b.u27_S.D.A,B,U27,S,A,A,B_U27,2,8.48,0.0848,3,1,1,1,0,0,0.0218472,0.0218472,5,5,0.355785838,0.355785838,Spur,1
w4_b.u27_S.D.nA,B,U27,S,nA,nA,B_U27,2,8.48,0.0848,3,2,2,1,0,0,0.0218472,0.0218472,5,5,0.256351305,0.256351305,Spur,1
w4_b.v15_G.D,B,V15,G,A,G,B_V15,2,25.54,0.2554,0,0,0,0,0,0,NA,0.724503414,12,12,NA,0.672633439,Slope,2
w4_b.v15_S.D.A,B,V15,S,A,A,B_V15,2,25.54,0.2554,1,1,0,0,0,0,NA,0.724503414,12,12,NA,0.38173885,Slope,2
w4_b.v15_S.D.nA,B,V15,S,nA,nA,B_V15,2,25.54,0.2554,0,0,0,0,0,0,NA,0.724503414,12,12,NA,0.39831771,Slope,2
w4_b.v19_G.D,B,V19,G,A,G,B_V19,2,30.06,0.3006,0,0,0,0,0,0,0.3229521,0.3229521,21,21,0.672923058,0.672923058,Slope,2
w4_b.v19_S.D.A,B,V19,S,A,A,B_V19,2,30.06,0.3006,0,0,1,1,0,0,0.3229521,0.3229521,21,21,0.347078675,0.347078675,Slope,2
w4_b.v19_S.D.nA,B,V19,S,nA,nA,B_V19,2,30.06,0.3006,2,1,0,0,0,0,0.3229521,0.3229521,21,21,0.467145422,0.467145422,Slope,2
w4_b.v23_G.D,B,V23,G,A,G,B_V23,2,79.9,0.799,0,0,0,0,1,1,0.0910906,0.0910906,12,12,0.708295247,0.708295247,Ridge,1
w4_b.v23_S.D.A,B,V23,S,A,A,B_V23,2,79.9,0.799,2,1,0,0,0,0,0.0910906,0.0910906,12,12,0.390243902,0.390243902,Ridge,1
w4_b.v23_S.D.nA,B,V23,S,nA,nA,B_V23,2,79.9,0.799,7,2,5,2,0,0,0.0910906,0.0910906,12,12,0.656318681,0.656318681,Ridge,1
w4_b.v24_G.D,B,V24,G,A,G,B_V24,1,31.14,0.3114,0,0,0,0,0,0,0.7233502,0.7233502,21,21,0.697578348,0.697578348,Slope,2
w4_b.v24_S.D.A,B,V24,S,A,A,B_V24,1,31.14,0.3114,4,2,0,0,0,0,0.7233502,0.7233502,21,21,0.48553719,0.48553719,Slope,2
w4_b.v24_S.D.nA,B,V24,S,nA,nA,B_V24,1,31.14,0.3114,5,2,0,0,0,0,0.7233502,0.7233502,21,21,0.507833518,0.507833518,Slope,2
w4_b.w10_G.D,B,W10,G,A,G,B_W10,1,20.4,0.204,12,2,0,0,0,0,0.0110613,0.0110613,9,9,0.453764001,0.453764001,Ridge,1
w4_b.w10_S.D.A,B,W10,S,A,A,B_W10,1,20.4,0.204,25,4,4,2,0,0,0.0110613,0.0110613,9,9,0.385028969,0.385028969,Ridge,1
w4_b.w10_S.D.nA,B,W10,S,nA,nA,B_W10,1,20.4,0.204,11,3,0,0,0,0,0.0110613,0.0110613,9,9,0.476442545,0.476442545,Ridge,1
w4_b.w11_G.D,B,W11,G,A,G,B_W11,1,53.4,0.534,1,1,1,1,0,0,0.0935007,0.0935007,18,18,0.676225311,0.676225311,Ridge,1
w4_b.w11_S.D.A,B,W11,S,A,A,B_W11,1,53.4,0.534,0,0,0,0,0,0,0.0935007,0.0935007,18,18,0.471116816,0.471116816,Ridge,1
w4_b.w11_S.D.nA,B,W11,S,nA,nA,B_W11,1,53.4,0.534,1,1,0,0,0,0,0.0935007,0.0935007,18,18,0.409583887,0.409583887,Ridge,1
w4_b.x21_G.D,B,X21,G,A,G,B_X21,1,42.1,0.421,0,0,0,0,0,0,0,0,17,17,0.689661416,0.689661416,Slope,2
w4_b.x21_S.D.A,B,X21,S,A,A,B_X21,1,42.1,0.421,1,1,5,4,0,0,0,0,17,17,0.219481842,0.219481842,Slope,2
w4_b.x21_S.D.nA,B,X21,S,nA,nA,B_X21,1,42.1,0.421,4,2,0,0,0,0,0,0,17,17,0.222949016,0.222949016,Slope,2
w4_b.y9_G.D,B,Y9,G,A,G,B_Y9,1,44.9,0.449,0,0,0,0,0,0,NA,0.206054584,13,13,NA,0.635175423,Slope,2
w4_b.y9_S.D.A,B,Y9,S,A,A,B_Y9,1,44.9,0.449,9,2,1,1,0,0,NA,0.206054584,13,13,NA,0.343483309,Slope,2
w4_b.y9_S.D.nA,B,Y9,S,nA,nA,B_Y9,1,44.9,0.449,4,2,1,1,0,0,NA,0.206054584,13,13,NA,0.359366449,Slope,2
